"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_name","celltype"
6.9880566040993e-82,1.22335357345047,0.753,0.28,1.45204828176579e-77,5,"ENSMUSG00000003352","Cacnb3","TC IV"
1.98311444256974e-78,1.23270558692382,0.635,0.166,4.12071350021566e-74,5,"ENSMUSG00000040829","Zmynd15","TC IV"
6.25031677602325e-64,1.23305848196266,0.881,0.633,1.29875332288987e-59,5,"ENSMUSG00000041515","Irf8","TC IV"
2.09005610572813e-89,1.25413381378253,0.961,0.634,4.34292758209249e-85,5,"ENSMUSG00000034663","Bmp2k","TC IV"
1.10160686291299e-51,1.25810576564785,0.429,0.089,2.28902890044691e-47,5,"ENSMUSG00000050919","Zfp366","TC IV"
2.37716498039659e-96,1.26682047725801,0.976,0.687,4.93951111276608e-92,5,"ENSMUSG00000020023","Tmcc3","TC IV"
6.04627929620382e-59,1.26879782837121,0.564,0.175,1.25635637495819e-54,5,"ENSMUSG00000028207","Asph","TC IV"
2.25440731300454e-45,1.2748942499119,0.738,0.452,4.68443295569213e-41,5,"ENSMUSG00000016496","Cd274","TC IV"
1.03972837915276e-43,1.28701006459555,0.353,0.074,2.16045159904151e-39,5,"ENSMUSG00000028360","Slc44a5","TC IV"
4.21816679655526e-16,1.29377198414638,0.221,0.074,8.76492878656216e-12,5,"ENSMUSG00000039539","Sgcz","TC IV"
1.94626035839504e-56,1.29563258788034,0.558,0.195,4.04413439870905e-52,5,"ENSMUSG00000041132","N4bp2l1","TC IV"
1.18808859559685e-47,1.2967549990138,0.751,0.519,2.46872929279069e-43,5,"ENSMUSG00000027087","Itgav","TC IV"
1.00282700128515e-66,1.30613559460321,0.737,0.323,2.08377422597042e-62,5,"ENSMUSG00000031712","Il15","TC IV"
6.44223851937435e-94,1.31469583702331,0.963,0.705,1.3386327419408e-89,5,"ENSMUSG00000036943","Rab8b","TC IV"
7.57587686812316e-110,1.32820044320953,0.981,0.756,1.57419145442731e-105,5,"ENSMUSG00000021725","Parp8","TC IV"
1.99288913878191e-59,1.33912350761219,0.597,0.202,4.14102434147493e-55,5,"ENSMUSG00000039981","Zc3h12d","TC IV"
5.06100004103512e-96,1.3407153278183,0.926,0.576,1.05162519852669e-91,5,"ENSMUSG00000062210","Tnfaip8","TC IV"
6.95801722066908e-82,1.34386704664235,0.865,0.466,1.44580639828283e-77,5,"ENSMUSG00000001156","Mxd1","TC IV"
2.72283827807672e-101,1.35068461571019,0.937,0.53,5.65778565801561e-97,5,"ENSMUSG00000020027","Socs2","TC IV"
3.41707953211674e-53,1.35674663377079,0.551,0.191,7.10034955978537e-49,5,"ENSMUSG00000039701","Usp53","TC IV"
4.50531908794714e-135,1.36550546926395,0.987,0.748,9.36160253284536e-131,5,"ENSMUSG00000003382","Etv3","TC IV"
1.6840550472052e-90,1.43364222530288,0.904,0.476,3.49929798258768e-86,5,"ENSMUSG00000038349","Plcl1","TC IV"
1.32153644380967e-90,1.45391359712726,0.56,0.088,2.74602057659212e-86,5,"ENSMUSG00000023206","Il15ra","TC IV"
2.69013920348733e-82,1.45832476341579,0.683,0.234,5.58984025092633e-78,5,"ENSMUSG00000028337","Coro2a","TC IV"
7.50954509528539e-88,1.48354224925938,0.696,0.222,1.56040837534935e-83,5,"ENSMUSG00000022272","Myo10","TC IV"
5.21631733800987e-21,1.49385985292035,0.38,0.216,1.08389857966507e-16,5,"ENSMUSG00000052920","Prkg1","TC IV"
2.49618009495925e-153,1.50715755686511,0.993,0.649,5.18681261931583e-149,5,"ENSMUSG00000022637","Cblb","TC IV"
9.72056586041654e-62,1.51050129126525,0.963,0.903,2.01983638013595e-57,5,"ENSMUSG00000004383","Large1","TC IV"
9.91340337385496e-93,1.51771185170701,0.699,0.209,2.05990608705332e-88,5,"ENSMUSG00000042817","Flt3","TC IV"
7.76672548472706e-72,1.52597370764974,0.733,0.323,1.61384788847143e-67,5,"ENSMUSG00000097418","Mir155hg","TC IV"
3.45212385781406e-56,1.56467562217289,0.466,0.115,7.17316816415184e-52,5,"ENSMUSG00000036617","Etl4","TC IV"
6.89446762138429e-64,1.57349733294559,0.512,0.147,1.43260142704744e-59,5,"ENSMUSG00000026770","Il2ra","TC IV"
5.37966576244724e-73,1.57604667620971,0.705,0.31,1.11784074877891e-68,5,"ENSMUSG00000002845","Tmem39a","TC IV"
6.75427781882456e-102,1.58574789510167,0.9,0.531,1.40347138797355e-97,5,"ENSMUSG00000026773","Pfkfb3","TC IV"
2.70216233868301e-170,1.59874019600107,0.983,0.744,5.61482312354943e-166,5,"ENSMUSG00000069662","Marcks","TC IV"
2.22341705468102e-88,1.61419496267582,0.8,0.328,4.62003829792169e-84,5,"ENSMUSG00000022799","Arhgap31","TC IV"
3.33307728896241e-127,1.61911727048164,0.803,0.241,6.92580129873499e-123,5,"ENSMUSG00000025190","Got1","TC IV"
2.7822873439967e-44,1.63572422122752,0.72,0.497,5.78131487209073e-40,5,"ENSMUSG00000022636","Alcam","TC IV"
1.87348305412062e-123,1.64983956362179,0.955,0.6,3.89291043815723e-119,5,"ENSMUSG00000026980","Ly75","TC IV"
5.49423035854328e-104,1.66810731726623,0.594,0.09,1.14164612620171e-99,5,"ENSMUSG00000019302","Atp6v0a1","TC IV"
3.25178568597578e-135,1.73206750374509,0.77,0.189,6.75688547688906e-131,5,"ENSMUSG00000042842","Serpinb6b","TC IV"
9.25124013996917e-97,1.74468034716438,0.868,0.481,1.92231518868419e-92,5,"ENSMUSG00000062939","Stat4","TC IV"
2.67574156041849e-140,1.7537270030959,0.985,0.639,5.55992338839357e-136,5,"ENSMUSG00000036053","Fmnl2","TC IV"
3.54173266610975e-86,1.77244529165474,0.85,0.502,7.35936630690946e-82,5,"ENSMUSG00000062232","Rapgef2","TC IV"
1.99667247716852e-108,1.79092843531806,0.776,0.22,4.14888574030846e-104,5,"ENSMUSG00000023022","Lima1","TC IV"
2.76034135962797e-49,1.80070204833506,0.468,0.158,5.73571331117097e-45,5,"ENSMUSG00000113669","Gm36723","TC IV"
4.39361823823228e-104,1.88434624527362,0.466,0.026,9.12949933722286e-100,5,"ENSMUSG00000002944","Cd36","TC IV"
1.7464943050319e-78,1.88584528840929,0.575,0.167,3.62904051642578e-74,5,"ENSMUSG00000035042","Ccl5","TC IV"
5.15024660176869e-106,1.88819315201412,0.779,0.249,1.07016974138152e-101,5,"ENSMUSG00000058056","Palld","TC IV"
1.02076284918229e-78,1.95586642603898,0.44,0.051,2.12104312431588e-74,5,"ENSMUSG00000030200","Bcl2l14","TC IV"
4.09822496229468e-225,1.96200941773339,0.998,0.785,8.51570164915212e-221,5,"ENSMUSG00000026721","Rabgap1l","TC IV"
1.07767645920047e-76,2.03140385220152,0.69,0.291,2.23930391457266e-72,5,"ENSMUSG00000040111","Gramd1b","TC IV"
3.09538744703015e-151,2.07263861275253,0.761,0.144,6.43190557618395e-147,5,"ENSMUSG00000031608","Galnt7","TC IV"
1.13999746753335e-121,2.22058274492193,0.737,0.216,2.36880073778756e-117,5,"ENSMUSG00000026358","Rgs1","TC IV"
